gene,department
ASIC4,Ion channel
ASIC5,Ion channel
ASIP,Signaling
ASMT,Translation
ASMT,Methylation
ASMTL,Methylation
ASPH,Structural
ASPM,Cell cycle
ASPRV1,Proteolysis
ASRGL1,Proteolysis
ASS1,Nuc acid bind
ASTL,Proteolysis
ASTL,Cell adhesion
ASTN1,Cell adhesion
ASXL1,Chromatin
ASXL1,Transcription
ASXL2,Transcription
ASXL3,Transcription
ATAD3A,DNA repair
ATAD5,DNA repair
ATAT1,Cytoskeleton
ATCAY,Apoptosis
ATF1,Transcription
ATF2,Transcription
ATF2,DNA repair
ATF2,Apoptosis
ATF3,Transcription
ATF4,Transcription
ATF4,Apoptosis
ATF5,Transcription
ATF6,Transcription
ATF6,Signaling
ATF6,Apoptosis
ATF6,Protein folding
ATF6B,Transcription
ATF6B,Signaling
ATF7,Transcription
ATF7IP,Transcription
ATF7IP2,Transcription
ATG3,Ubiquitin
ATG4A,Proteolysis
ATG4B,Proteolysis
ATG4C,Proteolysis
ATG4D,Proteolysis
ATG4D,Apoptosis
ATG5,Apoptosis
ATG7,Apoptosis
ATL1,GTPase
ATL2,GTPase
ATL3,GTPase
ATM,Chromatin
ATM,Transcription
ATM,Kinase
ATM,Signaling
ATM,DNA repair
ATM,Apoptosis
ATMIN,Transcription
ATMIN,DNA repair
ATN1,Transcription
ATOH1,Transcription
ATOH7,Transcription
ATOH8,Transcription
ATOX1,Ion channel
ATP11B,Ion channel
ATP12A,Ion channel
ATP13A1,Transport
ATP13A3,Transport
ATP1A1,Ion channel
ATP1A2,Ion channel
ATP1A3,Ion channel
ATP1A4,Ion channel
ATP1B1,Immune
ATP1B1,Ion channel
ATP1B1,Cell adhesion
ATP1B2,Ion channel
ATP1B2,Cell adhesion
ATP1B3,Ion channel
ATP1B4,Transcription
ATP1B4,Transport
ATP23,Proteolysis
ATP2A1,Ion channel
ATP2A2,Ion channel
ATP2A2,Cell adhesion
ATP2A3,Ion channel
ATP2B1,Ion channel
ATP2B2,Ion channel
ATP2B3,Ion channel
ATP2B4,Transcription
ATP2B4,Ion channel
ATP2C1,Ion channel
ATP2C2,Ion channel
ATP4A,Ion channel
ATP4B,Ion channel
ATP4B,Cell adhesion
ATP5F1A,Nuc acid bind
ATP5F1A,Ion channel
ATP5F1B,Ion channel
ATP5F1C,Nuc acid bind
ATP5F1C,Ion channel
ATP5F1D,Structural
ATP5F1D,Ion channel
ATP5F1E,Ion channel
ATP5F1EP2,Ion channel
ATP5MC1,Ion channel
ATP5MC2,Ion channel
ATP5MC3,Ion channel
ATP5ME,Ion channel
ATP5MF,Ion channel
ATP5MG,Ion channel
ATP5MGL,Ion channel
ATP5PB,Ion channel
ATP5PD,Ion channel
ATP5PF,Ion channel
ATP5PO,Ion channel
ATP6AP1,Ion channel
ATP6V0A1,Ion channel
ATP6V0A2,Immune
ATP6V0A2,Ion channel
ATP6V0A4,Ion channel
ATP6V0B,Ion channel
ATP6V0C,Ion channel
ATP6V0D1,Ion channel
ATP6V0D2,Ion channel
ATP6V0E1,Ion channel
ATP6V0E2,Ion channel
ATP6V1A,Ion channel
ATP6V1B1,Ion channel
ATP6V1B2,Ion channel
ATP6V1C1,Ion channel
ATP6V1C2,Ion channel
ATP6V1D,Ion channel
ATP6V1E1,Ion channel
ATP6V1E2,Ion channel
ATP6V1F,Ion channel
ATP6V1G1,Ion channel
ATP6V1G2,Ion channel
ATP6V1G3,Ion channel
ATP6V1H,Ion channel
ATP7A,Ion channel
ATP7B,Ion channel
ATPAF2,Protein folding
ATPSCKMT,Methylation
ATR,Chromatin
ATR,Kinase
ATR,DNA repair
ATRIP,DNA repair
ATRN,Immune
ATRX,Chromatin
ATRX,Transcription
ATRX,DNA repair
ATXN1,Transcription
ATXN1,RNA processing
ATXN1,Nuc acid bind
ATXN10,Cell cycle
ATXN1L,Transcription
ATXN1L,Nuc acid bind
ATXN2,Nuc acid bind
ATXN2L,Nuc acid bind
ATXN3,Proteolysis
ATXN3,Cytoskeleton
ATXN3L,Proteolysis
ATXN7,Transcription
